Mode,Duration,WaitTime,Throughput,LaneVariance,Lane0_Wait,Lane1_Wait,Lane2_Wait,Lane3_Wait
CV,70,17.833521251185612,123,222.67529852261256,6.891845888561672,0.0,36.63362927769506,27.80860983848572
Random,70,9.209871863325436,38,85.22580292607994,17.520785232385,0.0,0.0,19.318702220916748
CV,100,38.5627630093373,125,555.8760576734976,9.612937370936075,62.92375759725218,60.6236284394418,21.090728629719127
Random,100,12.60660632914967,51,80.37727960578057,11.34979216257731,25.235061240196227,0.0,13.841571913825142
CV,130,58.30334271696741,237,277.3977352921373,65.96244920854983,76.51520604978909,59.2351488711229,31.500566738407787
Random,130,30.888575086214765,118,153.6288268308985,50.70038219502098,29.0452402142378,27.251147627830505,16.557530307769774
